1;"The Bullet Bar ";"United States";"Los Angeles";90001;"California"
2;"1933 Pontius Ave ";"United States";"Los Angeles";90001;"California"
3;"Meea's ";"United States";"Los Angeles";90001;"California"
4;"Aliso Apartments - Dog Park (Enter by Boxx Coffee) ";"United States";"Los Angeles";90001;"California"
5;"Old World Huntington Beach ";"United States";"Los Angeles";90001;"California"
6;"Pan Pacific Park ";"United States";"Los Angeles";90001;"California"
7;"Bella Terra ";"United States";"Los Angeles";90001;"California"
8;"Full Circle Brewery District ";"United States";"Palos Verdes Peninsula";90274;"California"
9;"Linda Mar Beacha ";"United States";"Palos Verdes Peninsula";90274;"California"
10;"Otay Ranch Town Center ";"United States";"Palos Verdes Peninsula";90274;"California"
11;"Mayes Oyster House ";"United States";"Palos Verdes Peninsula";90274;"California"
12;"University of Beer - Sacramento ";"United States";"Palos Verdes Peninsula";90274;"California"
13;"University of Beer - Vacaville, CA ";"United States";"Palos Verdes Peninsula";90274;"California"
14;"University of Beer - Roseville ";"United States";"Palos Verdes Peninsula";90274;"California"
15;"Little Marina Green Fitness Area ";"United States";"Palos Verdes Peninsula";90274;"California"
16;"University of Beer - Rocklin, CA ";"United States";"Palos Verdes Peninsula";90274;"California"
17;"Tijeras Creek Golf Club ";"United States";"Buena Park";90620;"California"
18;"The Dog Pawrk Brewing Company ";"United States";"Buena Park";90620;"California"
19;"The Smell ";"United States";"La Palma";90623;"California"
